ingredient_name,Zn,Na,Se,Potassium (K),Phosphorus (P),Manganese (Mn),Magnesium (Mg),Iron (Fe),Fluoride (F),Copper (Cu),Calcium (Ca),Vitamin K,Vitamin E,Vitamin D,Vitamin C,Vitamin B6,Vitamin B12,Vitamin A,Thiamin (B1),Ribofavin (B2),Pantothenic Acid (B5),Niacin (B3),Cholines,Saturated Fattyacid,Trans Fattyacid,Alcohol (ethyl),Fiber (F),Carb,Fats,Calories,Sugars,Cholestrols,Caffeines,Water (H2O),Ashes,Proteins,Purchase Cost,Purchase Amt,Price / Unit,Persian
Adzuki Beans,5.040,5.000,3.100,"1,254.000",381.000,1.730,127.000,4.980,0.000,1.094,66.000,0.000,0.000,0.000,0.000,351.000,0.000,17.000,455.000,220.000,1.471,2.630,60.000,191.000,0.000,0.000,12.700,62.900,0.530,329.000,1.500,76.000,0.000,13.440,3.260,19.870,"40,000","1,000",40,لوبیا آدوکی
Alcoholic.All(Vodka.…).Proof 100,0.040,1.000,0.000,2.000,4.000,18.000,0.000,0.040,0.000,21.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,6.000,4.000,0.000,13.000,0.000,0.000,0.000,42.500,0.000,0.000,0.000,295.000,0.000,0.000,0.000,57.500,0.010,0.000,"2,000,000","1,000","2,000",الکلی.همه(ودکا...).اثبات 100
Alcoholic.All(Vodka.…).Proof 80,0.040,1.000,0.000,2.000,4.000,18.000,0.000,0.040,0.000,21.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,6.000,4.000,0.000,13.000,0.000,0.000,0.000,33.400,0.000,0.000,0.000,231.000,0.000,0.000,0.000,66.600,0.010,0.000,"2,000,000","1,000","2,000",الکلی.همه(ودکا...).اثبات 80
Alcoholic.All(Vodka.…).Proof 86,0.040,1.000,0.000,2.000,4.000,18.000,0.000,0.040,0.000,21.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,6.000,4.000,0.000,13.000,0.000,0.000,0.000,36.000,0.000,0.000,0.000,250.000,0.000,0.000,0.000,63.900,0.010,0.000,,,,الکلی.همه(ودکا...).اثبات 86
Alcoholic.All(Vodka.…).Proof 90,0.040,1.000,0.000,2.000,4.000,18.000,0.000,0.040,0.000,21.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,6.000,4.000,0.000,13.000,0.000,0.000,0.000,37.900,0.000,0.000,0.000,263.000,0.000,0.000,0.000,62.100,0.010,0.000,"6,500,000","16,500",394,الکلی.همه(ودکا...).اثبات 90
Alcoholic.All(Vodka.…).Proof 94,0.040,1.000,0.000,2.000,4.000,18.000,0.000,0.040,0.000,21.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,6.000,4.000,0.000,13.000,0.000,0.000,0.000,39.700,0.000,0.000,0.000,275.000,0.000,0.000,0.000,60.300,0.000,0.000,,,,الکلی.همه(ودکا...).اثبات 94
Alcoholic.Beer.Light,0.010,4.000,0.400,21.000,12.000,6.000,5.000,0.030,45.300,6.000,4.000,0.000,0.000,0.000,0.000,34.000,0.020,0.000,5.000,15.000,30.000,391.000,8.800,0.000,0.000,3.100,0.000,1.640,0.000,29.000,0.090,0.000,0.000,94.880,0.090,0.240,"550,000",500,"1,100",الکلی.آبجو.سبک
Alcoholic.Beer.Regular,0.010,4.000,0.600,27.000,14.000,8.000,6.000,0.020,44.200,5.000,4.000,0.000,0.000,0.000,0.000,46.000,0.020,0.000,5.000,25.000,41.000,513.000,10.100,0.000,0.000,3.900,0.000,3.550,0.000,43.000,0.000,0.000,0.000,91.960,0.160,0.460,,,,الکلی.آبجو.معمول
Alcoholic.Beer.Strong,0.010,4.000,0.600,62.000,32.000,22.000,12.000,0.030,0.000,8.000,8.000,0.000,0.000,0.000,0.000,90.000,0.020,0.000,30.000,90.000,210.000,1.100,10.100,0.000,0.000,7.700,0.000,0.270,0.000,58.000,0.000,0.000,0.000,91.000,0.120,0.900,,,,الکلی.آبجو.قوی
Alcoholic.RedWine,0.140,4.000,0.200,127.000,23.000,132.000,12.000,0.460,104.600,11.000,8.000,0.400,0.000,0.000,0.000,57.000,0.000,2.000,5.000,31.000,30.000,224.000,5.700,0.000,0.000,0.000,0.000,2.610,0.000,85.000,0.620,0.000,0.000,86.490,0.280,0.070,,,,الکلی.شراب قرمز
Alcoholic.Whiskey.Proof 86,0.020,0.000,0.000,1.000,3.000,8.000,0.000,0.020,0.000,14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,1.000,0.000,50.000,0.000,0.000,0.000,36.000,0.000,0.100,0.000,250.000,0.100,0.000,0.000,63.900,0.000,0.000,,,,الکلی.ویسکی.پروف 86
Alcoholic.WhiteWine,0.120,5.000,0.100,71.000,18.000,117.000,10.000,0.270,202.000,4.000,9.000,0.400,0.000,0.000,0.000,50.000,0.000,0.000,5.000,15.000,45.000,108.000,4.300,0.000,0.000,10.300,0.000,2.600,0.000,82.000,0.960,0.000,0.000,86.860,0.200,0.070,,,,الکلی.شراب سفید
Alcoholic.WhiteWine.Chardonnay,0.120,5.000,0.100,71.000,18.000,117.000,10.000,0.270,202.000,4.000,9.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,5.000,15.000,45.000,108.000,0.000,0.000,0.000,10.700,0.000,2.160,0.000,84.000,0.960,0.000,0.000,86.850,0.220,0.070,,,,الکلی.شراب سفید.شاردونه
